iter	Passed	Remaining
1404	5217	5923
1405	5221	5919
1406	5224	5915
1407	5228	5911
1408	5231	5907
1409	5235	5903
1410	5238	5899
1411	5242	5895
1412	5245	5891
1413	5249	5887
1414	5252	5884
1415	5256	5880
1416	5260	5876
1417	5263	5872
1418	5266	5868
1419	5270	5864
1420	5273	5860
1421	5277	5856
1422	5280	5852
1423	5284	5848
1424	5287	5844
1425	5291	5840
1426	5294	5836
1427	5298	5832
1428	5301	5828
1429	5306	5826
1430	5310	5822
1431	5313	5818
1432	5317	5814
1433	5321	5810
1434	5324	5807
1435	5328	5803
1436	5331	5799
1437	5335	5795
1438	5338	5791
1439	5342	5787
1440	5346	5784
1441	5350	5780
1442	5353	5776
1443	5357	5772
1444	5360	5768
1445	5364	5765
1446	5368	5761
1447	5372	5758
1448	5376	5754
1449	5379	5750
1450	5384	5748
1451	5388	5744
1452	5391	5740
1453	5396	5737
1454	5400	5734
1455	5405	5731
1456	5409	5728
1457	5412	5724
1458	5416	5720
1459	5420	5717
1460	5425	5714
1461	5429	5711
1462	5432	5707
1463	5436	5704
1464	5440	5700
1465	5444	5696
1466	5447	5692
1467	5451	5688
1468	5454	5685
1469	5458	5681
1470	5461	5677
1471	5465	5673
1472	5469	5669
1473	5472	5665
1474	5476	5661
1475	5480	5658
1476	5484	5654
1477	5487	5650
1478	5491	5646
1479	5494	5643
1480	5497	5639
1481	5501	5635
1482	5505	5631
1483	5509	5628
1484	5513	5625
1485	5517	5621
1486	5522	5618
1487	5526	5615
1488	5530	5612
1489	5535	5609
1490	5539	5606
1491	5543	5603
1492	5548	5600
1493	5552	5596
1494	5556	5593
1495	5561	5590
1496	5565	5587
1497	5570	5585
1498	5574	5582
1499	5579	5579
1500	5584	5576
1501	5588	5573
1502	5593	5570
1503	5598	5568
1504	5602	5565
1505	5607	5562
1506	5611	5559
1507	5616	5556
1508	5620	5553
1509	5624	5550
1510	5628	5547
1511	5633	5543
1512	5637	5540
1513	5641	5537
1514	5645	5534
1515	5650	5530
1516	5654	5527
1517	5659	5524
1518	5663	5521
1519	5670	5520
1520	5674	5517
1521	5678	5514
1522	5683	5511
1523	5687	5508
1524	5691	5504
1525	5695	5501
1526	5699	5498
1527	5704	5495
1528	5708	5491
1529	5712	5488
1530	5716	5484
1531	5720	5481
1532	5724	5478
1533	5728	5474
1534	5731	5470
1535	5735	5466
1536	5739	5462
1537	5743	5459
1538	5746	5455
1539	5750	5451
1540	5754	5448
1541	5758	5444
1542	5761	5440
1543	5765	5437
1544	5769	5433
1545	5773	5429
1546	5777	5426
1547	5781	5423
1548	5786	5420
1549	5790	5417
1550	5795	5414
1551	5798	5410
1552	5803	5406
1553	5806	5403
1554	5810	5399
1555	5815	5396
1556	5819	5393
1557	5822	5389
1558	5826	5385
1559	5830	5381
1560	5834	5378
1561	5838	5374
1562	5842	5371
1563	5846	5367
1564	5850	5364
1565	5855	5361
1566	5859	5358
1567	5862	5354
1568	5866	5350
1569	5870	5346
1570	5874	5343
1571	5878	5339
1572	5881	5335
1573	5884	5331
1574	5888	5327
1575	5891	5323
1576	5895	5319
1577	5898	5315
1578	5901	5311
1579	5905	5307
1580	5908	5303
1581	5912	5299
1582	5915	5295
1583	5919	5291
1584	5922	5287
1585	5926	5283
1586	5929	5279
1587	5933	5275
1588	5936	5271
1589	5940	5267
1590	5943	5263
1591	5947	5259
1592	5950	5256
1593	5954	5252
1594	5957	5248
1595	5961	5244
1596	5964	5240
1597	5968	5236
1598	5971	5232
1599	5975	5228
1600	5978	5224
1601	5982	5220
1602	5985	5216
1603	5989	5212
1604	5992	5208
1605	5996	5204
1606	6000	5201
1607	6003	5197
1608	6007	5193
1609	6011	5189
1610	6015	5186
1611	6018	5182
1612	6023	5179
1613	6027	5175
1614	6030	5172
1615	6034	5168
1616	6038	5164
1617	6042	5161
1618	6046	5157
1619	6051	5154
1620	6055	5151
1621	6059	5148
1622	6064	5145
1623	6068	5141
1624	6072	5138
1625	6077	5135
1626	6082	5132
1627	6086	5129
1628	6090	5125
1629	6095	5123
1630	6099	5119
1631	6104	5116
1632	6108	5113
1633	6111	5109
1634	6115	5105
1635	6119	5102
1636	6123	5098
1637	6127	5094
1638	6131	5091
1639	6135	5087
1640	6138	5083
1641	6142	5080
1642	6146	5076
1643	6150	5072
1644	6154	5069
1645	6158	5065
1646	6162	5062
1647	6165	5058
1648	6169	5054
1649	6173	5050
1650	6176	5046
1651	6180	5043
1652	6184	5039
1653	6187	5035
1654	6191	5031
1655	6195	5028
1656	6199	5024
1657	6202	5020
1658	6206	5016
1659	6210	5013
1660	6213	5009
1661	6217	5005
1662	6221	5001
1663	6225	4998
1664	6228	4994
1665	6232	4990
1666	6235	4986
1667	6238	4982
1668	6242	4978
1669	6245	4974
1670	6249	4970
1671	6252	4966
1672	6255	4962
1673	6259	4958
1674	6262	4953
1675	6265	4949
1676	6269	4945
1677	6272	4942
1678	6276	4938
1679	6279	4934
1680	6283	4930
1681	6286	4926
1682	6290	4922
1683	6294	4918
1684	6297	4914
1685	6301	4911
1686	6304	4907
1687	6308	4903
1688	6312	4899
1689	6315	4895
1690	6319	4891
